model,response,n_predictors,n_pairs,RMSE,MAE,R2
M2_24m,ETmax,386,395,0.0523787647020776,0.0395326948942985,0.362369873067765
M3_12m,ETmax,164,395,0.0501225268879482,0.0371630323365897,0.416119138878432
M3_24m,ETmax,307,395,0.0507050836090545,0.037776464714894,0.402467775813893
M4_12m,ETmax,264,395,0.0506905290895858,0.0378816307295283,0.40281076099786
M4_24m,ETmax,407,395,0.0507909703587464,0.037901646555997,0.400441802828018
M5_raw_12m,ETmax,144,395,0.0460117891232958,0.0335005187091746,0.507964354563828
M5_raw_24m,ETmax,287,395,0.0480223141648679,0.0352906256377264,0.464025047967408
M5_anom_12m,ETmax,144,395,0.0524560187900281,0.0396507596807118,0.36048758886598
M5_anom_24m,ETmax,287,395,0.052484791834122,0.0396719354526589,0.35978582896171
M6_raw_12m,ETmax,244,395,0.0476402753156867,0.0351838253618264,0.472518964434076
M6_raw_24m,ETmax,387,395,0.0482936245344714,0.0358376449397085,0.457951773904918
M6_anom_12m,ETmax,244,395,0.0526186316317849,0.0398942552906215,0.356516486172766
M6_anom_24m,ETmax,387,395,0.0520861697260743,0.0393333415001432,0.36947375485121
M7_raw_12m,ETmax,165,395,0.0455651272899077,0.0328698036253632,0.517470909996874
M7_raw_24m,ETmax,308,395,0.0468360044051509,0.0339837670963446,0.490178670441152
M7_anom_12m,ETmax,165,395,0.0500671065466143,0.0370017981616216,0.417409615997958
M7_anom_24m,ETmax,308,395,0.0504781482820788,0.0374079137489669,0.407804428993653
M8_raw_12m,ETmax,265,395,0.0468551861987583,0.0343166245599667,0.489760987924919
M8_raw_24m,ETmax,408,395,0.0477114759161081,0.0350756088712395,0.470941096484824
M8_anom_12m,ETmax,265,395,0.050914598378043,0.0380778810303346,0.397519535322805
M8_anom_24m,ETmax,408,395,0.0507905902649043,0.0379703727761619,0.400450776372899
M1_12m,uWUE,143,395,0.919030460738215,0.699098509147141,0.149591868382286
M1_24m,uWUE,286,395,0.931785258878559,0.708590774917741,0.125823226822409
M2_12m,uWUE,243,395,0.890340241181397,0.68033151869221,0.201859042204325
M2_24m,uWUE,386,395,0.894452069173546,0.679635747945958,0.194469964782738
M3_12m,uWUE,164,395,0.967370538034162,0.734798922141084,0.0577778595218602
M3_24m,uWUE,307,395,0.960703229334415,0.732399648078278,0.0707210636824613
M4_12m,uWUE,264,395,0.923291644611985,0.697664520122642,0.141687568111482
M4_24m,uWUE,407,395,0.913593005727402,0.689917396162261,0.159625000060776
M5_raw_12m,uWUE,144,395,0.768173247724965,0.570304646350781,0.40586388924857
M5_raw_24m,uWUE,287,395,0.81541840778418,0.605728721266771,0.3305338625385
M5_anom_12m,uWUE,144,395,0.921430777093194,0.704709466276009,0.145143889142633
M5_anom_24m,uWUE,287,395,0.926039336578802,0.706892533597144,0.136571335501743
M6_raw_12m,uWUE,244,395,0.789419790655321,0.584824301284104,0.37254351545509
M6_raw_24m,uWUE,387,395,0.804757858017899,0.596803245685185,0.347924258072438
M6_anom_12m,uWUE,244,395,0.892774488562209,0.680545294138372,0.197488738773862
M6_anom_24m,uWUE,387,395,0.895216827068755,0.678951672227633,0.193091917079275
M7_raw_12m,uWUE,165,395,0.8274443212939,0.618441564563509,0.310641473450681
M7_raw_24m,uWUE,308,395,0.847997624504697,0.632025037703921,0.275969496488903
M7_anom_12m,uWUE,165,395,0.967261156336699,0.736071288532945,0.0579909237540242
M7_anom_24m,uWUE,308,395,0.956696538358268,0.726795673504363,0.0784561668492221
M8_raw_12m,uWUE,265,395,0.809747430033993,0.598284189569676,0.339813333564014
M8_raw_24m,uWUE,408,395,0.822295089699552,0.608636289120988,0.319194609239883
M8_anom_12m,uWUE,265,395,0.915778674929958,0.69154773192801,0.155599183549458
M8_anom_24m,uWUE,408,395,0.908860793791661,0.686464471040876,0.168308370049012
M1_12m,WUE,143,395,0.966718859362601,0.726483077969094,0.197390452914805
M1_24m,WUE,286,395,0.971105134170173,0.728858493453933,0.190090600069695
M2_12m,WUE,243,395,0.902869247768074,0.683077748422906,0.299910343860769
M2_24m,WUE,386,395,0.921155520952813,0.693911631088399,0.271264615191881
M3_12m,WUE,164,395,0.993414482471995,0.742047675024054,0.152450809981634
M3_24m,WUE,307,395,0.98364558484453,0.73682754137126,0.169037867926956
