model,response,R2_base,RMSE_base,R2_tuned,RMSE_tuned,dR2,dRMSE_pct,dataset
M6_anom_24m,ETmax,0.389359700702767,0.0544417956839752,0.382262482202613,0.0547572588938749,-0.00709721850015399,0.579450412934413,all_sites
M6_anom_24m,GPPsat,0.43380507956093,6.76035583416357,0.423601365517994,6.82099989813541,-0.010203714042936,0.897054318729414,all_sites
M6_anom_24m,NEPmax,0.470387880696137,6.49620836534343,0.490017404689729,6.37468407730885,0.019629523993592,-1.87069566122446,all_sites
M6_anom_24m,WUE,0.196067734494336,1.10219240302268,0.134395327364387,1.14368777713656,-0.061672407129949,3.76480313238251,all_sites
M6_anom_24m,uWUE,0.128847739076292,1.02719194862397,0.101072566552337,1.04343857891705,-0.027775172523955,1.58165475448323,all_sites
M6_raw_12m,ETmax,0.502435763615415,0.0491432968782132,0.717486451575243,0.037030480740449,0.215050687959828,-24.6479518209414,all_sites
M6_raw_12m,GPPsat,0.554262053529807,5.9982750359446,0.716596895573872,4.78287326275281,0.162334842044065,-20.2625215734275,all_sites
M6_raw_12m,NEPmax,0.595690003938809,5.6759456538373,0.767271643106297,4.30631347453,0.171581639167488,-24.1304667598666,all_sites
M6_raw_12m,WUE,0.35595361476219,0.986520824416221,0.646177700895644,0.731206904709249,0.290224086133454,-25.8802362188406,all_sites
M6_raw_12m,uWUE,0.297221438738717,0.922600795792006,0.584773404578427,0.709164772124045,0.28755196583971,-23.1341686069907,all_sites
M6_raw_24m,ETmax,0.552013097953126,0.0466307465518683,0.739759254167103,0.0355408129652687,0.187746156213977,-23.7824491492197,all_sites
M6_raw_24m,GPPsat,0.580100177751082,5.82182862067524,0.747483829102394,4.51472361931697,0.167383651351312,-22.451794556719,all_sites
M6_raw_24m,NEPmax,0.62396456121601,5.47388131986212,0.793627591097842,4.05514890248759,0.169663029881832,-25.9182166085082,all_sites
M6_raw_24m,WUE,0.416084347736745,0.939339839530036,0.636846432469323,0.740786127974718,0.220762084732578,-21.1375801599831,all_sites
M6_raw_24m,uWUE,0.363163345791937,0.878250890036053,0.608998154784995,0.68816721105319,0.245834808993058,-21.6434371020176,all_sites
M7_anom_12m,ETmax,0.428889685909175,0.0526501620182286,0.430240512565168,0.0525878593899286,0.00135082665599301,-0.118333212874885,all_sites
M7_anom_12m,GPPsat,0.334629882243724,7.32855274089013,0.280741410527453,7.61954608107749,-0.053888471716271,3.97067948441913,all_sites
M7_anom_12m,NEPmax,0.353748466513221,7.1759892989614,0.302841449547008,7.45326852514922,-0.050907016966213,3.86398606012346,all_sites
M7_anom_12m,WUE,0.187317940412993,1.10817416182199,0.13370109659794,1.14414631446528,-0.053616843815053,3.24607393698358,all_sites
M7_anom_12m,uWUE,0.0733405875956401,1.05941140327421,0.0345854304683385,1.08133807928315,-0.0387551571273016,2.06970360533912,all_sites
M7_anom_24m,ETmax,0.414235689627469,0.0533213533710193,0.439333109180556,0.0521665559476057,0.025097419553087,-2.16573164484089,all_sites
M7_anom_24m,GPPsat,0.341684539963977,7.2895983296806,0.289219212799617,7.57450770046084,-0.05246532716436,3.90843717163664,all_sites
M7_anom_24m,NEPmax,0.356299271827534,7.16181320126661,0.308325651753814,7.42389505212228,-0.04797362007372,3.6594343288557,all_sites
M7_anom_24m,WUE,0.172346706159491,1.11833497558572,0.127198559086263,1.1484323324637,-0.045148147073228,2.69126491928027,all_sites
M7_anom_24m,uWUE,0.0801843076006451,1.05549208235749,0.0258153926500927,1.08623853145889,-0.0543689149505524,2.91299665959847,all_sites
M7_raw_12m,ETmax,0.542220692867798,0.0471376349735571,0.724545691131742,0.0365649088710403,0.182324998263944,-22.4294793500943,all_sites
M7_raw_12m,GPPsat,0.496685741858029,6.37391383398756,0.710370942377903,4.83512423005755,0.213685200519874,-24.141989427669,all_sites
M7_raw_12m,NEPmax,0.541512769003883,6.04428051250352,0.760310313653116,4.37024377260791,0.218797544649233,-27.6962119218757,all_sites
M7_raw_12m,WUE,0.401183335259736,0.951249896800057,0.632563196323099,0.745141944703975,0.231379861063363,-21.6670669599456,all_sites
M7_raw_12m,uWUE,0.31508267804423,0.910801311999528,0.588016844899146,0.706389609113824,0.272934166854916,-22.4430619711064,all_sites
M7_raw_24m,ETmax,0.571803220234271,0.0455891409424309,0.744356967581542,0.0352254614037741,0.172553747347271,-22.7327809307569,all_sites
M7_raw_24m,GPPsat,0.54366603656741,6.06915135091166,0.744125886959898,4.54464271963419,0.200459850392488,-25.1189753415602,all_sites
M7_raw_24m,NEPmax,0.578542268048284,5.79506086839618,0.787397075147061,4.1159075057682,0.208854807098777,-28.9755949205879,all_sites
M7_raw_24m,WUE,0.440013471227794,0.919891219457577,0.622068908935894,0.755707955735613,0.1820554377081,-17.8481172826909,all_sites
M7_raw_24m,uWUE,0.374743751122613,0.870229082394925,0.599834842739048,0.696184273209594,0.225091091616435,-19.9998842495988,all_sites
M8_anom_12m,ETmax,0.460253846980245,0.0511840312671865,0.44047051315775,0.0521136149124381,-0.019783333822495,1.81615949786969,all_sites
M8_anom_12m,GPPsat,0.453198454040539,6.64356882181078,0.395271495777714,6.98661466786104,-0.057926958262825,5.1635778186574,all_sites
M8_anom_12m,NEPmax,0.496716484074087,6.33267707124527,0.4516136436622,6.61034779084905,-0.045102840411887,4.38472886711052,all_sites
M8_anom_12m,WUE,0.186175710216218,1.10895266155578,0.134839716450579,1.14339416295558,-0.051335993765639,3.10576840597334,all_sites
M8_anom_12m,uWUE,0.11147411066524,1.03738416827752,0.07993979466684,1.05563236280647,-0.0315343159984,1.75905851341934,all_sites
M8_anom_24m,ETmax,0.444545705557496,0.05192348988918,0.4453845846354,0.0518842661510986,0.000838879077903976,-0.0755414132700142,all_sites
M8_anom_24m,GPPsat,0.444119002941863,6.69849882174928,0.380121461805739,7.07358980316364,-0.063997541136124,5.59962748961724,all_sites
M8_anom_24m,NEPmax,0.49070987463658,6.37035473679498,0.440085288782877,6.67946884079024,-0.050624585853703,4.85238447099069,all_sites
M8_anom_24m,WUE,0.165129003153823,1.12320071354991,0.112076294461392,1.15833854725923,-0.053052708692431,3.12836639840317,all_sites
M8_anom_24m,uWUE,0.110562530466031,1.03791618228722,0.0748173892684337,1.05856688351089,-0.0357451411975973,1.98963091394939,all_sites
M8_raw_12m,ETmax,0.544681157593361,0.0470107870044389,0.723059937153975,0.0366633887223724,0.178378779560614,-22.0106893362357,all_sites
M8_raw_12m,GPPsat,0.541838707338274,6.08129076882934,0.713392784000658,4.80983448398569,0.171554076662384,-20.9076713016373,all_sites
M8_raw_12m,NEPmax,0.595210035084452,5.67931369954557,0.758774328658575,4.38422415965148,0.163564293574123,-22.8036274875557,all_sites
M8_raw_12m,WUE,0.348242340181787,0.992409140438865,0.645132528096347,0.732286082055978,0.29689018791456,-26.2112719223701,all_sites
M8_raw_12m,uWUE,0.283305019049977,0.931690686456439,0.579873861405508,0.713336462639245,0.296568842355531,-23.4363428755175,all_sites
M8_raw_24m,ETmax,0.567065785824936,0.0458406391853421,0.745355797709652,0.0351565788560208,0.178290011884716,-23.3069619429251,all_sites
M8_raw_24m,GPPsat,0.571135988298016,5.88364381271726,0.745889085253012,4.52895735330142,0.174753096954996,-23.0246171001674,all_sites
M8_raw_24m,NEPmax,0.619776608430794,5.50427856343766,0.788419318940867,4.10600046730106,0.168642710510073,-25.4034762234729,all_sites
M8_raw_24m,WUE,0.398664200179167,0.953248682207508,0.639041575114431,0.738543831358518,0.240377374935264,-22.5234878218538,all_sites
M8_raw_24m,uWUE,0.347228110884671,0.889171009343749,0.604348305559956,0.692247008404833,0.257120194675285,-22.1469209937755,all_sites
M1_12m,ETmax,0.364199122661237,0.0523035779699668,0.368894238447068,0.0521101004169028,0.00469511578583098,-0.369912653346759,filtered
M1_12m,GPPsat,0.229888839573815,7.64285025899144,0.214884672824279,7.7169443811938,-0.015004166749536,0.96945667769942,filtered
M1_12m,NEPmax,0.239417067071769,7.59038544581947,0.220176782753827,7.68579192687671,-0.019240284317942,1.25693855388841,filtered
M1_12m,WUE,0.197390452914805,0.966718859362601,0.216543061363465,0.955114846940235,0.01915260844866,-1.20035026833107,filtered
M1_12m,uWUE,0.149591868382286,0.919030460738215,0.138971925373609,0.924751107408856,-0.010619943008677,0.622465404035232,filtered
M1_24m,ETmax,0.368968708083627,0.0521070258650929,0.372613801727225,0.0519563122065761,0.00364509364359805,-0.289238650670648,filtered
