SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
US-WCr,Willow Creek,45.8059,-90.0799,520,DBF
US-WPT,Winous Point North Marsh,41.4646,-82.9962,175,WET
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370,OSH
US-Wi0,Young red pine (YRP),46.6188,-91.0814,349,ENF
US-Wi1,Intermediate hardwood (IHW),46.7305,-91.2329,352,DBF
US-Wi2,Intermediate red pine (IRP),46.6869,-91.1528,395,ENF
US-Wi3,Mature hardwood (MHW),46.6347,-91.0987,411,DBF
US-Wi4,Mature red pine (MRP),46.7393,-91.1663,352,ENF
US-Wi5,Mixed young jack pine (MYJP),46.6531,-91.0858,353,ENF
US-Wi6,Pine barrens #1 (PB1),46.6249,-91.2982,371,OSH
US-Wi7,Red pine clearcut (RPCC),46.6491,-91.0693,335,OSH
US-Wi8,Young hardwood clearcut (YHW),46.7223,-91.2524,348,DBF
US-Wi9,Young Jack pine (YJP),46.7385,-91.0746,350,ENF
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,1531,GRA
ZA-Kru,Skukuza,-25.0197,31.4969,359,SAV
ZM-Mon,Mongu,-15.4391,23.2525,1053,DBF
CA-ARB,,52.695,-83.9452,89.62,WET
CA-ARF,,52.7008,-83.955,88.16,WET
CA-BOU,,50.5244,-63.2064,112,WET
CA-CF1,,58.6658,-93.83,26,WET
CA-Ca1,,49.8673,-125.3336,303.06,ENF
CA-Ca2,,49.8705,-125.2909,174.01,ENF
CA-Cbo,,44.3167,-79.9333,215.72,DBF
CA-DB2,,49.119,-122.9951,9.21,WET
CA-DBB,,49.1293,-122.9849,10.21,WET
CA-EM1,,50.3623,-100.2024,608,WET
CA-ER1,,43.6405,-80.4123,369.85,CRO
CA-HPC,,68.3203,-133.5188,87.03,ENF
CA-LP1,,55.1119,-122.8414,751,ENF
CA-MA1,,50.1645,-97.8762,260,CRO
CA-MA2,,50.171,-97.8762,259,CRO
CA-MA3,,50.1774,-97.8686,259,GRA
CA-Qc2,,49.7598,-74.5711,387.3,MF
MX-Tes,,27.8446,-109.2977,460,DBF
US-A32,,36.8193,-97.8198,335.58,GRA
US-A74,,36.8085,-97.5489,336.32,CRO
US-ALQ,,46.0308,-89.6067,496.61,WET
US-ASH,,36.1697,-120.201,145.77,DBF
US-ASM,,36.1777,-120.2026,145.31,DBF
US-Akn,,33.3833,-81.5656,93.51,MF
US-BRG,,39.2167,-86.5406,178.11,GRA
US-BZo,,64.6936,-148.33,120.45,WET
US-Bar,,44.0646,-71.2881,270.99,DBF
US-Beo,Barrow Environmental Observatory (BEO) tower,71.281,-156.6123,6.03,WET
US-CF1,,46.7815,-117.0821,793.92,CRO
US-CF2,,46.784,-117.0908,790.7,CRO
US-CF3,,46.7551,-117.1261,782.6,CRO
US-CF4,,46.7518,-117.1285,783.8,CRO
US-CGG,,37.938,-121.9761,116.68,GRA
US-CS1,,44.1031,-89.5379,334.52,CRO
US-CS2,,44.1467,-89.5002,335.3,ENF
US-CS3,,44.1394,-89.5727,327.22,CRO
