SITE_ID,date,label,IGBP,start_time,end_time,longitude_min,longitude_max,latitude_min,latitude_max,t2mmax_mean,t2mmax_min,t2mmax_max,pei_30_mean,pei_30_min,pei_30_max,pei_90_mean,pei_90_min,pei_90_max,pei_180_mean,pei_180_min,pei_180_max,heat,drought30,drought90,drought180,compound,land_share,inth,intd30,intd90,intd180,volume,duration,area
IT-Lsn,1950-07-26T01:00:00Z,300,OSH,1950-07-18T00:00:00Z,1950-07-26T00:00:00Z,14,16.5,43.5,45,32.4999308492082,29.4681645316753,36.0653215566512,-2.94534720440705,-3.52040521704268,-2.44882095166728,-1.73862980821074,-2.34479761818214,-0.740981540447629,0.269264337302967,-0.381698795739221,0.997083727754192,100,91.24,8.76,0,100,100,-3181.15126814213,-3184.81169258573,-3138.60922006289,-2803.8001238257,32.295990884304,9 days,3.58844343158934
IT-Lsn,1950-07-27T01:00:00Z,300,OSH,1950-07-18T00:00:00Z,1950-07-26T00:00:00Z,14,16.5,43.5,45,32.4999308492082,29.4681645316753,36.0653215566512,-2.94534720440705,-3.52040521704268,-2.44882095166728,-1.73862980821074,-2.34479761818214,-0.740981540447629,0.269264337302967,-0.381698795739221,0.997083727754192,100,91.24,8.76,0,100,100,-3181.15126814213,-3184.81169258573,-3138.60922006289,-2803.8001238257,32.295990884304,9 days,3.58844343158934
IT-Lsn,1950-07-28T01:00:00Z,300,OSH,1950-07-18T00:00:00Z,1950-07-26T00:00:00Z,14,16.5,43.5,45,32.4999308492082,29.4681645316753,36.0653215566512,-2.94534720440705,-3.52040521704268,-2.44882095166728,-1.73862980821074,-2.34479761818214,-0.740981540447629,0.269264337302967,-0.381698795739221,0.997083727754192,100,91.24,8.76,0,100,100,-3181.15126814213,-3184.81169258573,-3138.60922006289,-2803.8001238257,32.295990884304,9 days,3.58844343158934
IT-Lsn,1950-07-29T01:00:00Z,300,OSH,1950-07-18T00:00:00Z,1950-07-26T00:00:00Z,14,16.5,43.5,45,32.4999308492082,29.4681645316753,36.0653215566512,-2.94534720440705,-3.52040521704268,-2.44882095166728,-1.73862980821074,-2.34479761818214,-0.740981540447629,0.269264337302967,-0.381698795739221,0.997083727754192,100,91.24,8.76,0,100,100,-3181.15126814213,-3184.81169258573,-3138.60922006289,-2803.8001238257,32.295990884304,9 days,3.58844343158934
IT-Lsn,1950-08-09T01:00:00Z,463,OSH,1950-08-09T00:00:00Z,1950-08-13T00:00:00Z,13,14.75,45,45.75,31.6331724365584,30.2634075686418,32.7771436070209,-2.1390082810074,-2.72453622983703,-1.24920982985903,-1.7655311836322,-2.1718108743287,-1.40985479086891,-0.0507046445294619,-0.541908262349733,0.29835610617634,100,39.43,100,3.57,100,100,-1940.37513571727,-1918.73282801915,-1946.11835567451,-1912.66626615483,19.6966839432716,5 days,3.93933678865433
IT-Lsn,1950-08-10T01:00:00Z,463,OSH,1950-08-09T00:00:00Z,1950-08-13T00:00:00Z,13,14.75,45,45.75,31.6331724365584,30.2634075686418,32.7771436070209,-2.1390082810074,-2.72453622983703,-1.24920982985903,-1.7655311836322,-2.1718108743287,-1.40985479086891,-0.0507046445294619,-0.541908262349733,0.29835610617634,100,39.43,100,3.57,100,100,-1940.37513571727,-1918.73282801915,-1946.11835567451,-1912.66626615483,19.6966839432716,5 days,3.93933678865433
IT-Lsn,1950-08-11T01:00:00Z,463,OSH,1950-08-09T00:00:00Z,1950-08-13T00:00:00Z,13,14.75,45,45.75,31.6331724365584,30.2634075686418,32.7771436070209,-2.1390082810074,-2.72453622983703,-1.24920982985903,-1.7655311836322,-2.1718108743287,-1.40985479086891,-0.0507046445294619,-0.541908262349733,0.29835610617634,100,39.43,100,3.57,100,100,-1940.37513571727,-1918.73282801915,-1946.11835567451,-1912.66626615483,19.6966839432716,5 days,3.93933678865433
IT-Lsn,1950-08-12T01:00:00Z,463,OSH,1950-08-09T00:00:00Z,1950-08-13T00:00:00Z,13,14.75,45,45.75,31.6331724365584,30.2634075686418,32.7771436070209,-2.1390082810074,-2.72453622983703,-1.24920982985903,-1.7655311836322,-2.1718108743287,-1.40985479086891,-0.0507046445294619,-0.541908262349733,0.29835610617634,100,39.43,100,3.57,100,100,-1940.37513571727,-1918.73282801915,-1946.11835567451,-1912.66626615483,19.6966839432716,5 days,3.93933678865433
IT-Lsn,1950-08-13T01:00:00Z,463,OSH,1950-08-09T00:00:00Z,1950-08-13T00:00:00Z,13,14.75,45,45.75,31.6331724365584,30.2634075686418,32.7771436070209,-2.1390082810074,-2.72453622983703,-1.24920982985903,-1.7655311836322,-2.1718108743287,-1.40985479086891,-0.0507046445294619,-0.541908262349733,0.29835610617634,100,39.43,100,3.57,100,100,-1940.37513571727,-1918.73282801915,-1946.11835567451,-1912.66626615483,19.6966839432716,5 days,3.93933678865433
IT-Lsn,1950-08-21T01:00:00Z,533,OSH,1950-08-18T00:00:00Z,1950-09-02T00:00:00Z,2.75,24.25,37.75,49,34.5884328821669,28.0920900612704,39.1038859976964,-1.82944496384152,-3.17773907182568,2.14788028716214,-2.03565310377973,-3.56431423478899,0.591118352812518,-0.740998973144846,-2.39504504440851,1.76079703289038,100,20.94,99.78,63.85,100,100,-498784.98388423,-481316.246544416,-499558.272005922,-493143.769050034,5055.18721652031,16 days,315.949201032519
IT-Lsn,1950-08-22T01:00:00Z,533,OSH,1950-08-18T00:00:00Z,1950-09-02T00:00:00Z,2.75,24.25,37.75,49,34.5884328821669,28.0920900612704,39.1038859976964,-1.82944496384152,-3.17773907182568,2.14788028716214,-2.03565310377973,-3.56431423478899,0.591118352812518,-0.740998973144846,-2.39504504440851,1.76079703289038,100,20.94,99.78,63.85,100,100,-498784.98388423,-481316.246544416,-499558.272005922,-493143.769050034,5055.18721652031,16 days,315.949201032519
IT-Lsn,1950-08-23T01:00:00Z,533,OSH,1950-08-18T00:00:00Z,1950-09-02T00:00:00Z,2.75,24.25,37.75,49,34.5884328821669,28.0920900612704,39.1038859976964,-1.82944496384152,-3.17773907182568,2.14788028716214,-2.03565310377973,-3.56431423478899,0.591118352812518,-0.740998973144846,-2.39504504440851,1.76079703289038,100,20.94,99.78,63.85,100,100,-498784.98388423,-481316.246544416,-499558.272005922,-493143.769050034,5055.18721652031,16 days,315.949201032519
IT-Lsn,1950-08-24T01:00:00Z,533,OSH,1950-08-18T00:00:00Z,1950-09-02T00:00:00Z,2.75,24.25,37.75,49,34.5884328821669,28.0920900612704,39.1038859976964,-1.82944496384152,-3.17773907182568,2.14788028716214,-2.03565310377973,-3.56431423478899,0.591118352812518,-0.740998973144846,-2.39504504440851,1.76079703289038,100,20.94,99.78,63.85,100,100,-498784.98388423,-481316.246544416,-499558.272005922,-493143.769050034,5055.18721652031,16 days,315.949201032519
IT-Lsn,1952-08-11T01:00:00Z,2179,OSH,1952-08-01T00:00:00Z,1952-08-23T00:00:00Z,11.75,28.5,41.5,49.25,35.5622711509376,29.0121398525295,41.5408178795878,-2.31455140546011,-3.33285204520485,1.82835727772953,-0.941716896831258,-2.57949113192028,1.85318464693632,-0.33141270007407,-1.57850898542307,1.47284598805439,100,95.34,27.31,14.32,100,100,-501904.069550121,-499397.158904012,-478409.489263506,-474928.278329808,5084.03534257412,23 days,221.045014894527
IT-Lsn,1952-08-12T01:00:00Z,2179,OSH,1952-08-01T00:00:00Z,1952-08-23T00:00:00Z,11.75,28.5,41.5,49.25,35.5622711509376,29.0121398525295,41.5408178795878,-2.31455140546011,-3.33285204520485,1.82835727772953,-0.941716896831258,-2.57949113192028,1.85318464693632,-0.33141270007407,-1.57850898542307,1.47284598805439,100,95.34,27.31,14.32,100,100,-501904.069550121,-499397.158904012,-478409.489263506,-474928.278329808,5084.03534257412,23 days,221.045014894527
IT-Lsn,1952-08-13T01:00:00Z,2179,OSH,1952-08-01T00:00:00Z,1952-08-23T00:00:00Z,11.75,28.5,41.5,49.25,35.5622711509376,29.0121398525295,41.5408178795878,-2.31455140546011,-3.33285204520485,1.82835727772953,-0.941716896831258,-2.57949113192028,1.85318464693632,-0.33141270007407,-1.57850898542307,1.47284598805439,100,95.34,27.31,14.32,100,100,-501904.069550121,-499397.158904012,-478409.489263506,-474928.278329808,5084.03534257412,23 days,221.045014894527
IT-Lsn,1952-08-14T01:00:00Z,2179,OSH,1952-08-01T00:00:00Z,1952-08-23T00:00:00Z,11.75,28.5,41.5,49.25,35.5622711509376,29.0121398525295,41.5408178795878,-2.31455140546011,-3.33285204520485,1.82835727772953,-0.941716896831258,-2.57949113192028,1.85318464693632,-0.33141270007407,-1.57850898542307,1.47284598805439,100,95.34,27.31,14.32,100,100,-501904.069550121,-499397.158904012,-478409.489263506,-474928.278329808,5084.03534257412,23 days,221.045014894527
