family,window,response,share,se,cc,n_vars,per_var,learner
relative_tree_loss_pct_thresh,24 months,GPPsat,4.0764546967806,0.155832730203793,Tree cover change,10,0.40764546967806,XGBoost (Optuna)
relative_tree_loss_pct_thresh,24 months,NEPmax,0,0,Tree cover change,10,0,XGBoost (Optuna)
relative_tree_loss_pct_thresh,24 months,WUE,3.82827645878843,0.140241795868033,Tree cover change,10,0.382827645878843,XGBoost (Optuna)
absolute_mortality,12 months,ETmax,16.3348558107201,0.966986705704704,Standing mortality / deadwood,15,1.08899038738134,Random Forest (Optuna)
absolute_mortality,12 months,GPPsat,21.0542341089173,0.989440519568552,Standing mortality / deadwood,15,1.40361560726116,Random Forest (Optuna)
absolute_mortality,12 months,NEPmax,18.4463408000448,0.898090883321324,Standing mortality / deadwood,15,1.22975605333632,Random Forest (Optuna)
absolute_mortality,12 months,WUE,19.2441098496385,0.833348095779191,Standing mortality / deadwood,15,1.28294065664257,Random Forest (Optuna)
absolute_mortality,24 months,ETmax,21.2353197634482,0.867221190312072,Standing mortality / deadwood,15,1.41568798422988,Random Forest (Optuna)
absolute_mortality,24 months,GPPsat,21.5353230379122,1.01750223275176,Standing mortality / deadwood,15,1.43568820252748,Random Forest (Optuna)
absolute_mortality,24 months,NEPmax,19.6360846607824,0.932391206201146,Standing mortality / deadwood,15,1.30907231071882,Random Forest (Optuna)
absolute_mortality,24 months,WUE,20.2980162907343,0.908344366201417,Standing mortality / deadwood,15,1.35320108604895,Random Forest (Optuna)
mortality_loss_severity_pct,12 months,ETmax,3.21884792514721,0.118555624858654,Tree cover change,5,0.643769585029441,Random Forest (Optuna)
mortality_loss_severity_pct,12 months,GPPsat,11.6366704875678,0.32240253796159,Tree cover change,5,2.32733409751357,Random Forest (Optuna)
mortality_loss_severity_pct,12 months,NEPmax,11.0425996624317,0.418809201839132,Tree cover change,5,2.20851993248634,Random Forest (Optuna)
mortality_loss_severity_pct,12 months,WUE,5.7635434899635,0.168195502377359,Tree cover change,5,1.1527086979927,Random Forest (Optuna)
mortality_loss_severity_pct,24 months,ETmax,3.48983223138174,0.126255672263801,Tree cover change,5,0.697966446276349,Random Forest (Optuna)
mortality_loss_severity_pct,24 months,GPPsat,11.3633817105795,0.316427680639744,Tree cover change,5,2.27267634211591,Random Forest (Optuna)
mortality_loss_severity_pct,24 months,NEPmax,13.9744643862423,0.490693938189735,Tree cover change,5,2.79489287724845,Random Forest (Optuna)
mortality_loss_severity_pct,24 months,WUE,5.85520730258118,0.141306454650968,Tree cover change,5,1.17104146051624,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,12 months,ETmax,2.2993837048187,0.116767489174344,Tree cover change,5,0.459876740963741,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,12 months,GPPsat,1.2395217069774,0.0555456810891796,Tree cover change,5,0.247904341395481,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,12 months,NEPmax,1.13661004381131,0.0590364080826305,Tree cover change,5,0.227322008762262,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,12 months,WUE,1.09518519423854,0.0454871625113931,Tree cover change,5,0.219037038847709,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,24 months,ETmax,2.20893326720412,0.0858276428415771,Tree cover change,5,0.441786653440825,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,24 months,GPPsat,0.814754985069259,0.0360709697707855,Tree cover change,5,0.162950997013852,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,24 months,NEPmax,0.77108002750034,0.0411370426761341,Tree cover change,5,0.154216005500068,Random Forest (Optuna)
mortality_loss_severity_pct_thresh,24 months,WUE,0.682392686272332,0.0254987680008815,Tree cover change,5,0.136478537254466,Random Forest (Optuna)
new_deadwood_gain_pp,12 months,ETmax,9.09559148613933,0.235821151911955,Standing mortality / deadwood,10,0.909559148613933,Random Forest (Optuna)
new_deadwood_gain_pp,12 months,GPPsat,2.13347686403749,0.0843375589854202,Standing mortality / deadwood,10,0.213347686403749,Random Forest (Optuna)
new_deadwood_gain_pp,12 months,NEPmax,2.25994328520874,0.0916107916176747,Standing mortality / deadwood,10,0.225994328520874,Random Forest (Optuna)
new_deadwood_gain_pp,12 months,WUE,2.98436393835615,0.124262411870515,Standing mortality / deadwood,10,0.298436393835615,Random Forest (Optuna)
new_deadwood_gain_pp,24 months,ETmax,7.57682956029802,0.211914018957228,Standing mortality / deadwood,10,0.757682956029802,Random Forest (Optuna)
new_deadwood_gain_pp,24 months,GPPsat,1.86689938024057,0.0805412459621725,Standing mortality / deadwood,10,0.186689938024057,Random Forest (Optuna)
new_deadwood_gain_pp,24 months,NEPmax,1.28348997530489,0.0652793764550309,Standing mortality / deadwood,10,0.128348997530489,Random Forest (Optuna)
new_deadwood_gain_pp,24 months,WUE,2.27157036434375,0.0840399973069475,Standing mortality / deadwood,10,0.227157036434375,Random Forest (Optuna)
