model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M4_24m,ETmax,0.435954231352923,0.0523235115780144,0.446195395966931,0.0518463265840594,0.435954231352923,0.0523235115780144,All sites (112),none
M4_24m,GPPsat,0.440372026219149,6.72103688781628,0.383014738150126,7.05706254361725,0.440372026219149,6.72103688781628,All sites (112),none
M4_24m,NEPmax,0.484743177070794,6.40756270245914,0.436597272178765,6.70024158186145,0.484743177070794,6.40756270245914,All sites (112),none
M4_24m,WUE,0.177663689515695,1.11473700220115,0.111903339009367,1.15845135605734,0.177663689515695,1.11473700220115,All sites (112),none
M4_24m,uWUE,0.119606800735307,1.03262565856556,0.0702774499315096,1.0611609380038,0.119606800735307,1.03262565856556,All sites (112),none
M5_anom_12m,ETmax,0.300242634141921,0.0582791822859883,0.277938520905015,0.0592006940863802,0.300242634141921,0.0582791822859883,All sites (112),anom
M5_anom_12m,GPPsat,0.259957951910102,7.72884805892979,0.279953341248617,7.62371918820088,0.259957951910102,7.72884805892979,All sites (112),anom
M5_anom_12m,NEPmax,0.259555554389268,7.68116737999619,0.263798319312961,7.65912912550095,0.259555554389268,7.68116737999619,All sites (112),anom
M5_anom_12m,WUE,0.21308492500384,1.09046471226955,0.195849636837601,1.10234189899978,0.21308492500384,1.09046471226955,All sites (112),anom
M5_anom_12m,uWUE,0.11160447539123,1.03730806286214,0.0873387021339135,1.05137922144316,0.11160447539123,1.03730806286214,All sites (112),anom
M5_anom_24m,ETmax,0.325966770703388,0.057197936852955,0.306686441380632,0.0580102259372194,0.325966770703388,0.057197936852955,All sites (112),anom
M5_anom_24m,GPPsat,0.281919220064911,7.61330489665093,0.279839907695841,7.62431967116004,0.281919220064911,7.61330489665093,All sites (112),anom
M5_anom_24m,NEPmax,0.28456971673442,7.5503076622822,0.277892569852219,7.58545953514024,0.28456971673442,7.5503076622822,All sites (112),anom
M5_anom_24m,WUE,0.202412594123518,1.09783438103004,0.174632981842521,1.11678928596096,0.202412594123518,1.09783438103004,All sites (112),anom
M5_anom_24m,uWUE,0.115337938285387,1.03512613577264,0.0720364308415278,1.06015663541645,0.115337938285387,1.03512613577264,All sites (112),anom
M5_raw_12m,ETmax,0.501875020460412,0.0491709807486961,0.718128266625427,0.0369883938499853,0.719007975757507,0.0369306291792067,All sites (112),raw
M5_raw_12m,GPPsat,0.509784996052906,6.29042329793266,0.710133407136119,4.83710655362838,0.717911458537693,4.77176771042863,All sites (112),raw
M5_raw_12m,NEPmax,0.549835455473109,5.98916988700359,0.763596396458267,4.34018293689078,0.775514694687968,4.22936286634134,All sites (112),raw
M5_raw_12m,WUE,0.436429852770195,0.922829934733943,0.621713036521337,0.756063671819031,0.642023616139619,0.735486781808326,All sites (112),raw
M5_raw_12m,uWUE,0.374541774586391,0.870369626103187,0.591589942920715,0.703319707156251,0.605911149825289,0.690878450197793,All sites (112),raw
M5_raw_24m,ETmax,0.54709065319941,0.0468862341329081,0.739537905178902,0.0355559244553305,0.748008038851663,0.0349730133335948,All sites (112),raw
M5_raw_24m,GPPsat,0.552655359520632,6.00907591524249,0.745473303186313,4.5326610305001,0.744470664278039,4.54157985037385,All sites (112),raw
M5_raw_24m,NEPmax,0.57826985062144,5.79693344117274,0.793134055895845,4.05999490787255,0.798780706689099,4.00420034568887,All sites (112),raw
M5_raw_24m,WUE,0.458820062196348,0.904312487233524,0.618589638036672,0.759178547370562,0.636648375132685,0.740988106065733,All sites (112),raw
M5_raw_24m,uWUE,0.39713916148761,0.854502050518523,0.606699038036409,0.690187479968842,0.624163452287126,0.67468969617335,All sites (112),raw
M6_anom_12m,ETmax,0.385803313318057,0.0546001008490788,0.384124767094332,0.0546746586116408,0.385803313318057,0.0546001008490788,All sites (112),anom
M6_anom_12m,GPPsat,0.446531095475595,6.68394987614899,0.438031622208223,6.73507615210573,0.446531095475595,6.68394987614899,All sites (112),anom
M6_anom_12m,NEPmax,0.487913527796373,6.3878195716825,0.491163634834243,6.36751621958531,0.487913527796373,6.3878195716825,All sites (112),anom
M6_anom_12m,WUE,0.198800695833788,1.10031736096662,0.158807946014552,1.12744473918094,0.198800695833788,1.10031736096662,All sites (112),anom
M6_anom_12m,uWUE,0.134134713458155,1.0240702197537,0.119348817493366,1.03277694358358,0.134134713458155,1.0240702197537,All sites (112),anom
M6_anom_24m,ETmax,0.389359700702767,0.0544417956839752,0.382262482202613,0.0547572588938749,0.389359700702767,0.0544417956839752,All sites (112),anom
M6_anom_24m,GPPsat,0.43380507956093,6.76035583416357,0.423601365517994,6.82099989813541,0.43380507956093,6.76035583416357,All sites (112),anom
M6_anom_24m,NEPmax,0.470387880696137,6.49620836534343,0.490017404689729,6.37468407730885,0.470387880696137,6.49620836534343,All sites (112),anom
M6_anom_24m,WUE,0.196067734494336,1.10219240302268,0.134395327364387,1.14368777713656,0.196067734494336,1.10219240302268,All sites (112),anom
M6_anom_24m,uWUE,0.128847739076292,1.02719194862397,0.101072566552337,1.04343857891705,0.128847739076292,1.02719194862397,All sites (112),anom
M6_raw_12m,ETmax,0.502435763615415,0.0491432968782132,0.717486451575243,0.037030480740449,0.717144868785652,0.0370528604703258,All sites (112),raw
M6_raw_12m,GPPsat,0.554262053529807,5.9982750359446,0.716596895573872,4.78287326275281,0.722823157641182,4.73004249911003,All sites (112),raw
M6_raw_12m,NEPmax,0.595690003938809,5.6759456538373,0.767271643106297,4.30631347453,0.779389474758812,4.19270304029444,All sites (112),raw
M6_raw_12m,WUE,0.35595361476219,0.986520824416221,0.646177700895644,0.731206904709249,0.639359623970189,0.738218385587584,All sites (112),raw
M6_raw_12m,uWUE,0.297221438738717,0.922600795792006,0.584773404578427,0.709164772124045,0.601197236583655,0.694998155653108,All sites (112),raw
M6_raw_24m,ETmax,0.552013097953126,0.0466307465518683,0.739759254167103,0.0355408129652687,0.749597381680807,0.034862549434158,All sites (112),raw
M6_raw_24m,GPPsat,0.580100177751082,5.82182862067524,0.747483829102394,4.51472361931697,0.745674169209736,4.53087214684555,All sites (112),raw
